Code,Meaning,Comments
"I5","OREGON, CONSCIENTIOUS OBJECTOR",""
"R5","OREGON, LIMITED SERVICE or UNITED STATES",""
"X7","PANAMA",""
"!7","PANAMA",""
"06","PANAMA CANAL ZONE",""
"J7","PARAGUAY",""
"32","PENNSYLVANIA",""
"C2","PENNSYLVANIA, CONSCIENTIOUS OBJECTOR",""
"L2","PENNSYLVANIA, LIMITED SERVICE or (FRANCE or MONACO)",""
"07","PHILIPPINE ISLANDS",""
"N0","POLAND",""
"08","PUERTO RICO (INCLUDING VIRGIN ISLANDS AND CUBA)",""
"15","RHODE ISLAND",""
"A5","RHODE ISLAND, CONSCIENTIOUS OBJECTOR",""
"J5","RHODE ISLAND, LIMITED SERVICE or BOLIVIA",""
"N5","ROUMANIA",""
"O9","RUSSIA or UNION OF SOCIALIST SOVIET REPUBLICS",""
"X4","SALVADOR",""
"!4","SALVADOR",""
"47","SOUTH CAROLINA",""
"D7","SOUTH CAROLINA, CONSCIENTIOUS OBJECTOR",""
"M7","SOUTH CAROLINA, LIMITED SERVICE or ESTHONIA",""
"78","SOUTH DAKOTA",""
"G8","SOUTH DAKOTA, CONSCIENTIOUS OBJECTOR",""
"P8","SOUTH DAKOTA, LIMITED SERVICE or (CHINA or MONGOLIA or SINKIAN or TIBET)",""
"48","TENNESSEE",""
"D8","TENNESSEE, CONSCIENTIOUS OBJECTOR",""
"M8","TENNESSEE, LIMITED SERVICE or LATVIA",""
"85","TEXAS",""
"H5","TEXAS, CONSCIENTIOUS OBJECTOR",""
"Q5","TEXAS, LIMITED SERVICE",""
"01","U.S. AT LARGE",""
"K0","URUGUAY",""
"96","UTAH",""
"I6","UTAH, CONSCIENTIOUS OBJECTOR",""
"R6","UTAH, LIMITED SERVICE",""
"16","VERMONT",""
"A6","VERMONT, CONSCIENTIOUS OBJECTOR",""
"J6","VERMONT, LIMITED SERVICE or BRAZIL",""
"33","VIRGINIA",""
"C3","VIRGINIA, CONSCIENTIOUS OBJECTOR",""
"L3","VIRGINIA, LIMITED SERVICE or (FRENCH ASIATIC POSSESSIONS or FRENCH INDIA or FRENCH INDO-CHINA or SYRIA)",""
"97","WASHINGTON",""
"I7","WASHINGTON, CONSCIENTIOUS OBJECTOR",""
"R7","WASHINGTON, LIMITED SERVICE",""
"54","WEST VIRGINIA",""
"E4","WEST VIRGINIA, CONSCIENTIOUS OBJECTOR",""
"N4","WEST VIRGINIA, LIMITED SERVICE or CZECHOSLOVAKIA",""
"63","WISCONSIN",""
"F3","WISCONSIN, CONSCIENTIOUS OBJECTOR",""
"O3","WISCONSIN, LIMITED SERVICE or SPAIN",""
"79","WYOMING",""
"G9","WYOMING, CONSCIENTIOUS OBJECTOR",""
"P9","WYOMING, LIMITED SERVICE or MANCHOUKUO",""
